domain,category,theme,bg,text,accent,font_1,font_2,hero_px,hero_weight,hero_lh,hero_ls_em,hero_words,hero_align,h2_px,body_px,body_lh,gutter_px,fullbleed_media,video,btn_radius,btn_h,page_screens,hero_text
selectel.ru,russia,light,#ffffff,#092433,#092433,Manrope,,54,500,1.1,-0.03,3,left,44,18,1.4,36,0,0,6,36,13.4,Серверы. Облако. Дата-центры.
surf.ru,russia,light,#ffffff,#000000,,Roboto Mono,TT Commons Pro Trial,48,600,1,-0.02,8,left,24,18,1.33,24,1,1,8,40,6.0,Создаем цифровые продукты любой сложности за 90 дней
t2.ru,russia,light,#ffffff,#000000,#a7fc00,T2 Rooftop,T2 Halvar Breit,38,800,1.05,-0.01,3,left,24,15,1.47,152,0,0,8,32,3.2,СКОРО IPHONE 18
tilda.cc,russia,light,#ffffff,#000000,#fa8669,TildaSans,,46,300,1.13,0,6,left,48,16,1.55,140,0,1,0,31,24.3,Create beautiful websites on Tilda with
ushatava.ru,russia,light,#ffffff,#000000,,Helvetica World,,,,,,,,,,,15,8,1,,,4.1,
yandex.cloud,russia,light,#ffffff,#000000,,YS Text,YS Display,72,900,0.9,-0.01,2,left,32,32,1.25,104,2,0,pill,48,9.9,Yandex Scale'26
1password.com,saas,light,#ffffff,#ffffff,,agileSans,,88,300,1.1,-0.02,8,center,64,16,1.5,96,0,0,pill,46,8.3,Secure access for every human and AI agent
airtable.com,saas,light,#ffffff,#040e20,#181d26,Haas,,40,400,1.2,0,9,center,24,16,1.35,73,0,1,12,55,8.7,"All your teams, all their workflows—connected in one workspace"
amie.so,saas,light,#fafafa,#5c5c5c,#11a8ff,Inter,,56,700,1.14,-0.012,8,center,,16,1.75,232,0,0,8,32,15.7,Run your workday on autopilot with AI agents
amplitude.com,saas,light,#ffffff,#ffffff,#1e61f0,Twemoji Country Flags,,72,600,1,-0.014,6,left,28,16,1.38,24,0,0,pill,46,8.4,A new era for product teams
arc.net,saas,light,#fffcec,#3139fb,#2702c2,Marlin Soft SQ,InterVariable,46,700,0.93,-0.04,9,center,,20,0.97,120,4,1,8,36,6.8,Arc is the Chrome replacement I've been waiting for.
asana.com,saas,light,#ffffff,#0d0d0d,#ffc9ff,TWK Lausanne,,102,300,0.9,-0.025,5,center,54,16,1.5,76,1,0,pill,44,9.4,Supercharge your teams with AI
attio.com,saas,light,#ffffff,null,,inter,interDisplay,64,600,0.95,-0.02,4,center,40,14,1.38,95,0,0,10,36,19.6,Welcome to agentic revenue.
bear.app,saas,light,#ffffff,#444444,,bearsans,bearsansheadline,51,400,1.1,0,4,center,42,16,1.6,272,1,1,,,11.7,Markdown notes you’ll love
beehiiv.com,saas,light,#ffffff,#ffffff,#131125,SatoshiFont,,60,700,1,0,5,left,48,20,1.4,128,0,0,6,36,13.0,NEWSLETTERS. PODCASTS. COMMUNITY. ONE PLATFORM.
cal.com,saas,light,#f4f4f4,#898989,,Cal Sans UI Variable Light,Cal Sans,64,600,1.1,0,7,left,48,16,1.5,196,0,0,,,9.2,The better way to schedule your meetings
coda.io,saas,light,#ffffff,#73716d,#346e4a,Inter,Calibre-R,72,700,1,-0.045,4,left,38,16,1.5,152,1,1,8,40,18.8,Your all-in-one collaborative workspace.
cohere.com,saas,light,#ffffff,#17171c,,Unica77 Cohere Web,ui-sans-serif,96,400,1,-0.02,4,center,48,18,1.4,40,1,0,pill,36,9.9,Your AI. Your rules.
composio.dev,saas,light,#f6f6f6,null,#0007cd,geistSans,JetBrains Mono,64,400,1.08,-0.025,5,center,28,14,1.5,,1,0,0,35,10.2,Give your AI secure access
deel.com,saas,light,#ffffff,#1b1b1b,#5938b7,Inter,BagossCondensedFont,60,500,1.05,-0.003,7,left,24,18,1.6,64,0,1,pill,32,8.6,"Hire, manage, pay, & equip anyone, anywhere."
descript.com,saas,light,#fff7fa,#390a1a,#f73b3b,booton,,88,400,,0,6,center,56,18,1.4,170,0,1,12,54,10.6,AI-editing for every kind of video
dovetail.com,saas,dark,#0a0a0a,#ffffff,,Inter,JetBrains Mono,48,600,1.17,-0.021,3,left,64,16,1.5,124,2,0,8,40,20.1,Introducing Digital Twins
dropbox.com,saas,light,#ffffff,#f7f5f2,#0061fe,Atlas Grotesk Web,Sharp Grotesk,40,500,1.2,0,10,left,32,16,1.5,100,0,1,0,40,10.6,"Find, organize, and share your work, all in one place"
elevenlabs.io,saas,light,#fdfcfc,#000000,,Inter,Geist Mono,48,300,1.08,-0.02,4,left,36,15,1.47,181,0,0,pill,40,12.0,Bringing technology to life
essential.com,saas,light,#f2f2f2,#000000,#ffc700,ndot,Geist Mono,,,,,,,24,14,1.43,128,0,1,,,10.4,
family.co,saas,light,#ffffff,#474645,#f6f4ef,Inter,,68,500,1.1,-0.02,4,center,,17,1.53,,1,1,6,33,12.6,Your favorite crypto wallet.
fibery.io,saas,light,#faebd6,#251d1a,#faebd6,Suisse Intl,Fraunces,64,800,1,0,7,left,48,16,1.2,83,0,1,6,40,13.5,Operating system for orgs run by nerds
figma.com,saas,light,#ffffff,#000000,,figmaSans,,56,400,1,-0.022,4,left,44,30,1.2,91,0,0,8,46,10.0,The full-stack creative canvas
fly.io,saas,light,#ffffff,#686082,#7c3aed,Fricolage Grotesque,Mackinac,72,500,0.95,-0.02,3,center,36,17,1.5,91,1,0,8,40,8.7,Computers for agents
folk.app,saas,light,#ffffff,#030200,,Inter,Uxumgrotesque,64,500,1,0,7,center,40,15,1.6,144,1,0,,,9.4,The CRM that works for your team
framer.com,saas,dark,#000000,#ffffff,,Inter,Inter Variable,54,500,1,-0.04,12,left,44,13,1.35,145,0,1,8,30,11.9,Framer is the design agent for every step from idea to launch
github.com,saas,dark,#0d1117,#ffffff,#08872b,Mona Sans,Mona Sans VF,,,,,,,22,18,1.5,124,0,1,,,12.4,
granola.ai,saas,light,#ffffff,#292929,#f7f7f2,melange,quadrant,86,400,0.93,-0.02,6,left,32,22,1.35,120,1,1,pill,38,15.9,The AI notepad for back-to-back meetings
heptabase.com,saas,light,#f7f7f7,#000000,,__Inter_611a59,,48,500,1.3,-0.033,10,center,26,16,1.5,330,0,1,pill,36,12.7,Master anything you learn. Do your best research with AI.
increase.com,saas,light,#ffffff,#1d2a36,#31f2bf,TT Interphases Pro-c98a05336328a01f,,40,600,1.2,-0.02,13,left,24,16,1.43,165,0,0,8,36,9.2,Banking for ambitious technology companies. Build great financial products with an API-first bank.
intercom.com,saas,light,#ffffff,#111111,,Saans,Serrif,80,400,1,-0.03,9,center,54,16,1.4,135,2,0,4,40,10.4,A complete system for human and AI customer service
lemonsqueezy.com,saas,light,#ffffff,#121217,,Inter,Circularpro book,80,400,1,-0.04,7,left,38,18,1.7,143,0,0,pill,40,21.3,"Payments, tax & subscriptions for software companies"
letta.com,saas,light,#c9cdd1,#202020,,Fira Code,,,,,,,,,12,1.76,154,1,0,,,3.7,
linear.app,saas,dark,#08090a,#8a8f98,,Inter Variable,Berkeley Mono,64,510,1,-0.022,8,center,48,15,1.54,85,1,0,pill,32,11.1,The product development system for teams and agents
liveblocks.io,saas,dark,#000000,#918d8d,,suisse,,60,500,1.1,-0.02,3,center,32,16,1.38,112,2,0,6,36,10.3,Realtime sync for
loom.com,saas,light,#ffffff,#101214,#1868db,Charlie Text,Charlie Display,63,700,1.03,0,7,center,32,19,1.65,151,0,1,pill,48,14.0,One video is worth a thousand words
maze.co,saas,dark,#000000,null,,Phonic,,130,300,1.05,-0.09,3,left,58,22,1.4,,3,0,2,44,10.8,Research at the
miro.com,saas,light,#f0f0f0,#ffffff,#3859ff,Noto Sans,sans-serif,56,500,1,-0.03,7,center,24,18,1.45,119,2,1,8,42,9.6,Human collaboration at the speed of AI
mistral.ai,saas,light,#fbfbf8,null,,ALTMistral,Inter,96,500,1,-0.02,5,left,,20,1.4,146,1,0,,,12.9,Frontier AI. In your hands.
mixpanel.com,saas,light,#fafafa,#ffffff,,Garnett Regular,Apercu Pro,48,400,1.2,-0.02,8,left,28,14,1.5,59,1,0,pill,28,12.6,Build like your customers are right beside you
moderntreasury.com,saas,light,#f8f7f5,#151515,#bae0cf,mt-sans,,71,450,1.1,0,5,center,32,16,1.5,144,0,1,2,33,6.7,Build Products That Move Money
nextjs.org,saas,light,#ffffff,#666666,,GeistSans,,72,600,1,-0.05,6,center,32,18,1.78,145,0,0,6,32,5.7,The React Framework for the Web
notion.com,saas,light,#ffffff,#000000,#0075de,NotionInter,Lyon Text,96,600,1.04,-0.048,6,center,22,20,1.4,106,0,1,8,36,5.1,Where teams and agents Scale together.
obsidian.md,saas,dark,#0f0f0f,#bcbcbc,#7c3aed,ui-sans-serif,,60,600,1,-0.02,3,left,60,16,1.4,164,0,0,8,60,7.7,Sharpen your thinking.
parallel.ai,saas,light,#ffffff,#858483,#fb631b,gerstnerProgramm,ftSystemMono,36,500,1.11,0,4,center,32,16,1.4,124,0,1,4,34,14.7,Where agents find answers
pitch.com,saas,light,#ffffff,#ffffff,#c4ee87,Eina 03 Regular,Mark Pro Bold,,,,,,,48,16,1.6,64,7,0,pill,44,15.9,
plaid.com,saas,light,#ffffff,#02294b,#05565c,Cern,Plaid Sans,76,500,1.12,-0.045,6,left,36,20,1.4,,2,0,2,32,9.9,Turn data into revolutionary financial products
planetscale.com,saas,light,#fbca00,#414141,#f35815,ui-monospace,,,,,,,,,16,1.5,176,0,0,0,32,9.1,
posthog.com,saas,light,#eeefe9,#374151,#cd8407,RoundHog,,36,800,1.11,-0.025,4,left,30,18,1.5,230,0,0,6,32,1.0,Make your product self-driving
railway.com,saas,dark,#13111c,#ffffff,#553f83,Inter,,54,500,1.12,-0.036,3,center,36,18,1.6,263,4,0,8,58,13.0,Ship software peacefully
raycast.com,saas,dark,#07080a,#ffffff,,Inter,GeistMono,64,600,1.1,0,4,center,32,16,1.6,226,1,0,8,36,17.8,Your shortcut to everything.
readwise.io,saas,light,#fbf9f3,#333333,,Inter,Source Serif 4,64,600,1.1,-0.02,8,center,40,14,1.17,,0,0,0,76,8.2,Get the most out of what you read
reflect.app,saas,dark,#030014,#efedfd,,Inter V,,72,500,1.11,0,4,center,56,16,1.5,,4,1,,,15.0,Think better with Reflect
render.com,saas,light,#ffffff,#0d0d0d,,PPNeueMontreal,Roobert,80,300,1,-0.03,10,left,40,18,1.44,178,0,0,0,66,9.7,Your fastest path to production for APIs & web apps
resend.com,saas,dark,#000000,#a1a4a5,#00a3ff,inter,commitMono,96,400,1,-0.01,3,left,56,14,1.6,122,2,1,16,40,13.7,Email for developers
retool.com,saas,dark,#151515,#e9ebdf,#e9ebdf,saansFont,pxGroteskFont,72,300,1.05,-0.022,4,center,48,16,1.5,33,1,1,pill,40,10.8,Secure your vibe-coded apps
rippling.com,saas,light,#ffffff,#000000,#ffa81d,__basel_e55247,,48,500,1.08,-0.031,9,left,42,18,1.44,60,0,0,4,38,11.8,"AI that knows your company, and acts like it"
rive.app,saas,dark,#000000,#ffffff,,Inter Display,Inter,40,900,1.2,0.01,4,left,24,14,1.5,232,0,1,4,40,5.9,THE INTERACTIVE EXPERIENCE ENGINE
shopify.com,saas,dark,#000000,#ffffff,,Shopify-Inter,,,,,,,,56,18,1.4,90,10,1,pill,44,12.5,
sketch.com,saas,light,#f5f5f5,#212123,,InterVariable,,76,500,1,-0.02,3,left,22,16,1.5,88,1,1,pill,47,9.3,"Designers, welcome home."
slack.com,saas,dark,#730394,#000000,#730394,Salesforce-Sans,Salesforce-Avant-Garde,64,700,1.06,-0.012,8,center,24,16,1.55,121,0,1,4,39,12.3,All your people and AI agents working together
spline.design,saas,dark,#000000,#ffffff,#0062ff,Spline Sans,ui-monospace,38,500,1.25,0,3,center,36,16,1.5,213,1,1,pill,42,13.8,Make anything 3D
squarespace.com,saas,light,#ffffff,#ffffff,,Clarkson,,64,300,1.04,-0.06,5,center,26,15,1.4,,11,1,4,48,8.7,A website makes it real
stripe.com,saas,light,#ffffff,#061b31,#533afd,sohne-var,,48,300,1.15,-0.02,21,center,26,18,1.4,104,0,0,4,40,16.8,"Financial infrastructure to grow your revenue. Accept payments, offer financial services, and implement custom revenue m"
substack.com,saas,light,#ffffff,#363737,#ff6719,system-ui,,32,500,1.24,0,8,center,,15,1.4,68,0,1,12,48,4.2,Make money doing the work you believe in
sunsama.com,saas,light,#ffffff,#202228,#ff891c,DM Sans,,51,600,1.16,-0.01,6,left,,14,1.48,129,0,0,pill,44,13.4,Start Calm. Stay Focused. End Confident.
supabase.com,saas,light,#ffffff,null,,Inter,Manrope,46,500,1,0,4,left,34,15,1.5,176,0,0,8,64,8.6,Build in a weekend
superhuman.com,saas,light,#ffffff,null,#714cb6,Super Sans VF,,49,460,1.2,-0.027,8,left,28,18,1.5,112,2,1,8,36,8.2,Save 4+ hours each week with Superhuman Mail
tailscale.com,saas,light,#f9f7f6,null,,inter,,64,500,1.1,-0.01,9,center,64,16,1.5,149,0,0,0,40,6.4,The best secure connectivity platform for the AI era
things.app,saas,light,#f2f5f7,#303336,,ui-sans-serif,,,,,,,,36,20,1.3,297,0,1,,,9.0,
tines.com,saas,light,#fcf9f5,null,,Roobert,Reckless,64,400,1.05,-0.03,6,left,24,16,1.3,40,3,0,,,8.2,You told everyone to use AI.
vercel.com,saas,light,#fafafa,#4d4d4d,,GeistSans,Geist Mono,64,400,1,-0.06,2,left,56,24,1.33,24,0,0,6,32,6.6,Agentic Infrastructure
warp.dev,saas,light,#ffffff,#5d5966,#1a1522,matterMono,,56,500,1.05,-0.036,6,left,34,13,1.65,154,1,0,0,40,8.5,Open infrastructure for cloud software factories
webflow.com,saas,light,#ffffff,#080808,#146ef5,WF Visual Sans Variable,,80,600,1.04,-0.01,4,left,40,16,1.6,71,0,1,4,51,8.1,Build for what’s next
whimsical.com,saas,light,#ffffff,null,,Manrope-79d1da00e5f47c83,Agrandir-0cfc125464d8d15e,64,700,1.1,-0.01,5,center,24,16,1.4,136,0,0,,,8.5,The whiteboard for product builders
wix.com,saas,light,#ffffff,#000000,#166aea,wix-madefor-text-v2,wix-madefor-display-v2,82,400,1.2,-0.02,8,center,54,14,1.44,68,1,1,pill,40,19.7,Create your future on the leading website builder
workos.com,saas,light,#ffffff,#29363d,#6363f1,Untitled Sans,,80,500,1.05,-0.07,4,left,28,19,1.6,,0,0,pill,35,8.6,"Your app, ‍Enterprise Ready."
zed.dev,saas,light,#ffffff,null,,writer,zedMono,48,340,1.2,-0.02,4,center,26,13,1.5,208,0,1,4,32,9.1,Your last next editor
area17.com,studio,light,#ffffff,#1a1a1a,,SuisseIntl,,55,500,1.1,-0.015,17,left,32,,,,6,1,8,54,9.2,We partner with the world’s most influential organizations to realize their vision and achieve their greatest impact.
basicagency.com,studio,light,#f4f4f4,#f9cdcd,,SctoGroteskA,,,,,,,,,14,1.4,80,2,1,pill,32,11.0,
cuberto.com,studio,light,#ffffff,null,,Suisse Intl,,81,500,1,-0.01,5,center,38,16,1.5,216,1,1,pill,52,14.4,Digital design & development agency
displace.agency,studio,dark,#000000,#f5f5f7,#f3350c,-apple-system,,55,760,0.92,-0.065,5,left,32,16,1.5,,0,0,7,32,1.0,Shopify stores with everything wired.
dogstudio.co,studio,light,#fff8ea,#ffffff,#5ab400,Heebo,Calibri,,,,,,,22,20,1.35,43,10,0,4,33,4.3,
genius.design,studio,light,#ffffff,#111111,,gdsherpa,,60,850,0.88,0,1,left,,,,174,0,0,6,40,1.0,genius.design
instrument.com,studio,light,#ffffff,#070708,,Instrument-Sans,,,,,,,,28,18,1.56,48,0,0,0,50,7.5,
locomotive.ca,studio,light,#ffffff,#000000,,HelveticaNowDisplay,LocomotiveNew,70,400,1.1,0,5,left,26,14,1.2,40,1,1,0,42,7.3,🔶 Locomotive® Digital-first Design Agency🍺🔞
manualcreative.com,studio,light,#f9f8f8,#1c1c1c,,ABCOtto-478c268553af3f8b,ABCOracle-797018b588059137,60,400,1,-0.03,26,left,30,,,32,0,1,,,4.9,"Manual is the brand studio for ambitious ideas. We help organizations tell the biggest story they can credibly claim, an"
obys.agency,studio,light,#ffffff,#000000,,Obys,,,,,,,,,11,1.2,10,1,0,,,1.0,
opx.studio,studio,dark,#000000,#ffffff,,Helvetica,OPX-Medium,80,400,1.21,0,6,center,,,,50,0,1,,,11.3,"We invent, reinvigorate and transform brands."
order.design,studio,dark,#141414,#ffffff,,Pitch Sans,,,,,,,,,12,1.45,112,0,0,,,64.0,
pentagram.com,studio,dark,#000000,#ffffff,,Plain,,52,400,1.05,-0.02,5,left,52,16,1.25,24,24,1,,,28.2,The Secret Life of Things
portorocha.com,studio,light,#ffffff,#000000,,sf-pro-text,sf-pro-display,,,,,,,,14,1.25,151,0,0,,,51.6,
raggededge.com,studio,light,#ffffff,#181f1f,#dcf2eb,ABCDiatypeExpanded-Bold,Grit-Regular,,,,,,,40,10,1.2,32,2,1,pill,40,13.1,
ramotion.com,studio,light,#fafafa,#262626,,Graphik Web,,92,600,1.1,-0.035,5,center,40,18,1.5,80,0,1,pill,38,8.0,Product & brand design agency
reboot.studio,studio,light,#ffffff,#232323,,__inter_d4f92f,,40,500,1.6,0,21,center,,,,316,0,1,pill,36,2.6,We build world-class marketing sites for software startups. Framer We are a tight-knit team Ivan|Design Director Toni|Sr
springsummer.dk,studio,light,#dedcd3,#ffffff,,Supply,Montreal,,,,,,,40,18,1.4,514,0,0,3,31,4.7,
twomuch.studio,studio,light,#f7f7f7,#000000,,ABCMonumentGrotesk,,,,,,,,,,,610,1,1,0,34,1.0,
wearecollins.com,studio,dark,#140700,#f8f8f7,,Graphik,Portrait Text,72,400,1,-0.02,3,center,,36,1.05,98,1,0,,,6.0,Rewrite your worth.
work.co,studio,light,#ffffff,#000000,,HelveticaNowDisplay,adobe-garamond-pro,56,500,1,-0.02,8,left,,20,1.5,190,0,0,2,42,4.3,We solve complex problems through design & technology
